id,payment_id,requested_execution_date,payment_amount,currency,debtor_name,debtor_account_IBAN,debtor_agent_BIC,creditor_name,creditor_account_IBAN,creditor_agent_BIC,remittance_information
1,BATCH-001,2026-08-07,107.13,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 1,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-1
2,BATCH-002,2026-08-07,114.26,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 2,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-2
3,BATCH-003,2026-08-07,121.39,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 3,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-3
4,BATCH-004,2026-08-07,128.52,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 4,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-4
5,BATCH-005,2026-08-07,135.65,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 5,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-5
6,BATCH-006,2026-08-07,142.78,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 6,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-6
7,BATCH-007,2026-08-07,149.91,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 7,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-7
8,BATCH-008,2026-08-07,156.04,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 8,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-8
9,BATCH-009,2026-08-07,163.17,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 9,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-9
10,BATCH-010,2026-08-07,170.30,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 10,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-10
11,BATCH-011,2026-08-07,177.43,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 11,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-11
12,BATCH-012,2026-08-07,184.56,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 12,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-12
13,BATCH-013,2026-08-07,191.69,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 13,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-13
14,BATCH-014,2026-08-07,198.82,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 14,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-14
15,BATCH-015,2026-08-07,205.95,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 15,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-15
16,BATCH-016,2026-08-07,212.08,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 16,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-16
17,BATCH-017,2026-08-07,219.21,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 17,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-17
18,BATCH-018,2026-08-07,226.34,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 18,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-18
19,BATCH-019,2026-08-07,233.47,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 19,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-19
20,BATCH-020,2026-08-07,240.60,EUR,Acme Global Corp,DE89370400440532013000,DEUTDEFFXXX,Payee 20,FR1420041010050500013M02606,BNPAFRPPXXX,BATCH-INV-20
